TOTAL_REVENUE,NUMBER_OF_UNITS_SOLD,NUMBER_OF_SALES,MONTH_ID,MONTH_NAME,DAY_NAME,TIME_BUCKET,SPEND_BENDS,PRODUCT_CATEGORY,PRODUCT_TYPE,PRODUCT_DETAIL,STORE_LOCATION
27,9,8,202301,Jan,Sun,morning,MED,Coffee,Drip coffee,Our Old Time Diner Blend Lg,Hell's Kitchen
45,12,8,202301,Jan,Sun,morning,HIGH,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Rg,Lower Manhattan
27,9,6,202301,Jan,Sun,morning,MED,Coffee,Gourmet brewed coffee,Ethiopia Rg,Hell's Kitchen
35.2,16,9,202301,Jan,Sun,morning,MED,Coffee,Organic brewed coffee,Brazilian Sm,Lower Manhattan
42,14,9,202301,Jan,Sun,morning,HIGH,Coffee,Drip coffee,Our Old Time Diner Blend Lg,Lower Manhattan
30,10,6,202301,Jan,Sun,morning,MED,Tea,Brewed Green tea,Serenity Green Tea Lg,Hell's Kitchen
46.5,15,11,202301,Jan,Sun,morning,HIGH,Coffee,Premium brewed coffee,Jamaican Coffee River Rg,Hell's Kitchen
65.1,21,12,202301,Jan,Sun,morning,Very high,Coffee,Premium brewed coffee,Jamaican Coffee River Rg,Lower Manhattan
22.75,7,7,202301,Jan,Sun,morning,MED,Bakery,Scone,Cranberry Scone,Lower Manhattan
21,6,5,202301,Jan,Sun,morning,MED,Bakery,Pastry,Croissant,Astoria
81,18,12,202301,Jan,Sun,morning,Very high,Drinking Chocolate,Hot chocolate,Dark chocolate Lg,Astoria
15,6,4,202301,Jan,Sun,morning,LOW,Tea,Brewed Green tea,Serenity Green Tea Rg,Astoria
37.5,10,7,202301,Jan,Sun,morning,MED,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Rg,Astoria
15,5,4,202301,Jan,Sun,morning,LOW,Coffee,Gourmet brewed coffee,Columbian Medium Roast Lg,Astoria
48,16,10,202301,Jan,Sun,morning,HIGH,Coffee,Organic brewed coffee,Brazilian Rg,Astoria
27.9,9,5,202301,Jan,Sun,afternoon,MED,Coffee,Premium brewed coffee,Jamaican Coffee River Rg,Hell's Kitchen
12.5,5,3,202301,Jan,Sun,afternoon,LOW,Tea,Brewed Black tea,Earl Grey Rg,Hell's Kitchen
21,7,5,202301,Jan,Sun,afternoon,MED,Tea,Brewed Chai tea,Traditional Blend Chai Lg,Hell's Kitchen
61.75,13,9,202301,Jan,Sun,afternoon,Very high,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Lg,Astoria
9.75,3,3,202301,Jan,Sun,afternoon,LOW,Bakery,Scone,Ginger Scone,Hell's Kitchen
45,15,11,202301,Jan,Sun,morning,HIGH,Coffee,Organic brewed coffee,Brazilian Rg,Lower Manhattan
35,14,10,202301,Jan,Sun,morning,MED,Coffee,Gourmet brewed coffee,Columbian Medium Roast Rg,Lower Manhattan
29.75,7,5,202301,Jan,Sun,morning,MED,Coffee,Barista Espresso,Cappuccino Lg,Lower Manhattan
22,11,8,202301,Jan,Sun,morning,MED,Coffee,Drip coffee,Our Old Time Diner Blend Sm,Hell's Kitchen
36,12,8,202301,Jan,Sun,morning,MED,Tea,Brewed Green tea,Serenity Green Tea Lg,Astoria
47.5,19,13,202301,Jan,Sun,morning,HIGH,Tea,Brewed Chai tea,Traditional Blend Chai Rg,Astoria
48,16,10,202301,Jan,Sun,morning,HIGH,Coffee,Barista Espresso,Espresso shot,Astoria
30,8,5,202301,Jan,Sun,afternoon,MED,Coffee,Barista Espresso,Latte,Astoria
52.25,11,7,202301,Jan,Sun,afternoon,HIGH,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Lg,Lower Manhattan
45.6,17,10,202301,Jan,Sun,morning,HIGH,Coffee,Barista Espresso,Ouro Brasileiro shot,Lower Manhattan
73.5,21,13,202301,Jan,Sun,morning,Very high,Coffee,Gourmet brewed coffee,Ethiopia Lg,Hell's Kitchen
48.75,13,8,202301,Jan,Sun,morning,HIGH,Coffee,Barista Espresso,Latte,Hell's Kitchen
66.5,19,10,202301,Jan,Sun,morning,Very high,Coffee,Organic brewed coffee,Brazilian Lg,Lower Manhattan
40.5,9,9,202301,Jan,Sun,morning,Very high,Bakery,Scone,Scottish Cream Scone ,Lower Manhattan
50,20,11,202301,Jan,Sun,morning,HIGH,Tea,Brewed Black tea,English Breakfast Rg,Lower Manhattan
51,12,7,202301,Jan,Sun,morning,HIGH,Coffee,Barista Espresso,Cappuccino Lg,Hell's Kitchen
27,9,8,202301,Jan,Sun,morning,MED,Tea,Brewed herbal tea,Lemon Grass Lg,Astoria
24,8,6,202301,Jan,Sun,morning,MED,Tea,Brewed Black tea,English Breakfast Lg,Astoria
32.5,13,8,202301,Jan,Sun,morning,MED,Tea,Brewed herbal tea,Peppermint Rg,Hell's Kitchen
35.4,12,10,202301,Jan,Sun,morning,MED,Bakery,Scone,Ginger Scone,Lower Manhattan
22.5,9,6,202301,Jan,Sun,morning,MED,Tea,Brewed Black tea,Earl Grey Rg,Hell's Kitchen
43.4,14,8,202301,Jan,Sun,afternoon,HIGH,Coffee,Premium brewed coffee,Jamaican Coffee River Rg,Astoria
26.25,7,4,202301,Jan,Sun,afternoon,MED,Coffee,Barista Espresso,Latte,Lower Manhattan
30,8,5,202301,Jan,Sun,afternoon,MED,Coffee,Barista Espresso,Latte,Hell's Kitchen
20,8,6,202301,Jan,Sun,afternoon,LOW,Coffee,Gourmet brewed coffee,Columbian Medium Roast Rg,Hell's Kitchen
42,14,9,202301,Jan,Sun,morning,HIGH,Tea,Brewed herbal tea,Peppermint Lg,Hell's Kitchen
40,16,12,202301,Jan,Sun,morning,MED,Tea,Brewed herbal tea,Peppermint Rg,Lower Manhattan
30,12,8,202301,Jan,Sun,morning,MED,Coffee,Drip coffee,Our Old Time Diner Blend Rg,Hell's Kitchen
20,8,7,202301,Jan,Sun,morning,LOW,Tea,Brewed Green tea,Serenity Green Tea Rg,Hell's Kitchen
67.5,18,13,202301,Jan,Sun,morning,Very high,Coffee,Barista Espresso,Latte,Lower Manhattan
22.05,9,6,202301,Jan,Sun,morning,MED,Coffee,Premium brewed coffee,Jamaican Coffee River Sm,Lower Manhattan
45,12,7,202301,Jan,Sun,morning,HIGH,Coffee,Premium brewed coffee,Jamaican Coffee River Lg,Hell's Kitchen
49,14,14,202301,Jan,Sun,morning,HIGH,Bakery,Biscotti,Ginger Biscotti,Hell's Kitchen
37.5,15,7,202301,Jan,Sun,morning,MED,Tea,Brewed Chai tea,Morning Sunrise Chai Rg,Lower Manhattan
48,16,11,202301,Jan,Sun,morning,HIGH,Coffee,Barista Espresso,Espresso shot,Lower Manhattan
19.5,6,6,202301,Jan,Sun,morning,LOW,Bakery,Scone,Ginger Scone,Hell's Kitchen
37.5,15,8,202301,Jan,Sun,morning,MED,Coffee,Drip coffee,Our Old Time Diner Blend Rg,Lower Manhattan
60,16,10,202301,Jan,Sun,morning,HIGH,Coffee,Premium brewed coffee,Jamaican Coffee River Lg,Lower Manhattan
51,17,12,202301,Jan,Sun,morning,HIGH,Tea,Brewed Black tea,Earl Grey Lg,Hell's Kitchen
32,16,11,202301,Jan,Sun,morning,MED,Coffee,Drip coffee,Our Old Time Diner Blend Sm,Astoria
55.25,13,7,202301,Jan,Sun,morning,HIGH,Coffee,Barista Espresso,Latte Rg,Hell's Kitchen
42,14,9,202301,Jan,Sun,morning,HIGH,Tea,Brewed herbal tea,Peppermint Lg,Astoria
22,10,6,202301,Jan,Sun,morning,MED,Coffee,Gourmet brewed coffee,Ethiopia Sm,Hell's Kitchen
45,12,7,202301,Jan,Sun,morning,HIGH,Coffee,Barista Espresso,Cappuccino,Lower Manhattan
27.5,11,8,202301,Jan,Sun,morning,MED,Tea,Brewed Black tea,Earl Grey Rg,Astoria
27,9,7,202301,Jan,Sun,afternoon,MED,Tea,Brewed Black tea,English Breakfast Lg,Astoria
7.5,2,2,202301,Jan,Sun,afternoon,LOW,Coffee,Premium brewed coffee,Jamaican Coffee River Lg,Hell's Kitchen
21,7,4,202301,Jan,Sun,afternoon,MED,Tea,Brewed Green tea,Serenity Green Tea Lg,Hell's Kitchen
12.5,5,4,202301,Jan,Sun,afternoon,LOW,Tea,Brewed Green tea,Serenity Green Tea Rg,Lower Manhattan
18,6,5,202301,Jan,Sun,afternoon,LOW,Coffee,Drip coffee,Our Old Time Diner Blend Lg,Hell's Kitchen
39,13,7,202301,Jan,Sun,afternoon,MED,Tea,Brewed herbal tea,Lemon Grass Lg,Lower Manhattan
22,11,6,202301,Jan,Sun,afternoon,MED,Coffee,Gourmet brewed coffee,Columbian Medium Roast Sm,Astoria
46.2,21,12,202301,Jan,Sun,afternoon,HIGH,Coffee,Organic brewed coffee,Brazilian Sm,Lower Manhattan
33.75,9,7,202301,Jan,Sun,afternoon,MED,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Rg,Hell's Kitchen
27,9,6,202301,Jan,Sun,afternoon,MED,Tea,Brewed Black tea,English Breakfast Lg,Hell's Kitchen
24,8,6,202301,Jan,Sun,afternoon,MED,Tea,Brewed Chai tea,Traditional Blend Chai Lg,Astoria
36,8,6,202301,Jan,Sun,afternoon,MED,Drinking Chocolate,Hot chocolate,Dark chocolate Lg,Astoria
27,9,5,202301,Jan,Sun,afternoon,MED,Coffee,Gourmet brewed coffee,Ethiopia Rg,Astoria
18.3,6,5,202301,Jan,Sun,afternoon,LOW,Bakery,Scone,Ginger Scone,Lower Manhattan
39,13,8,202301,Jan,Sun,afternoon,MED,Coffee,Barista Espresso,Espresso shot,Hell's Kitchen
35,14,8,202301,Jan,Sun,afternoon,MED,Tea,Brewed Chai tea,Traditional Blend Chai Rg,Astoria
36,12,7,202301,Jan,Sun,morning,MED,Tea,Brewed Chai tea,Traditional Blend Chai Lg,Hell's Kitchen
27.5,11,6,202301,Jan,Sun,morning,MED,Tea,Brewed Black tea,Earl Grey Rg,Lower Manhattan
48.75,13,9,202301,Jan,Sun,morning,HIGH,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Rg,Hell's Kitchen
66.5,14,9,202301,Jan,Sun,morning,Very high,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Lg,Lower Manhattan
26.25,7,7,202301,Jan,Sun,morning,MED,Bakery,Pastry,Almond Croissant,Hell's Kitchen
14,4,4,202301,Jan,Sun,morning,LOW,Bakery,Pastry,Croissant,Lower Manhattan
22,10,8,202301,Jan,Sun,morning,MED,Coffee,Organic brewed coffee,Brazilian Sm,Astoria
49,14,9,202301,Jan,Sun,afternoon,HIGH,Coffee,Organic brewed coffee,Brazilian Lg,Hell's Kitchen
27,9,7,202301,Jan,Sun,afternoon,MED,Coffee,Drip coffee,Our Old Time Diner Blend Lg,Astoria
59.5,14,7,202301,Jan,Sun,afternoon,HIGH,Coffee,Barista Espresso,Cappuccino Lg,Lower Manhattan
25,10,7,202301,Jan,Sun,afternoon,MED,Coffee,Gourmet brewed coffee,Columbian Medium Roast Rg,Astoria
14,4,3,202301,Jan,Sun,afternoon,LOW,Coffee,Gourmet brewed coffee,Ethiopia Lg,Astoria
12,4,3,202301,Jan,Sun,afternoon,LOW,Tea,Brewed herbal tea,Peppermint Lg,Hell's Kitchen
33.75,9,9,202301,Jan,Sun,morning,MED,Bakery,Scone,Jumbo Savory Scone,Astoria
22,10,6,202301,Jan,Sun,afternoon,MED,Coffee,Gourmet brewed coffee,Ethiopia Sm,Lower Manhattan
15,5,4,202301,Jan,Sun,afternoon,LOW,Coffee,Organic brewed coffee,Brazilian Rg,Hell's Kitchen
27,9,6,202301,Jan,Sun,afternoon,MED,Coffee,Gourmet brewed coffee,Columbian Medium Roast Lg,Lower Manhattan
9,2,2,202301,Jan,Sun,afternoon,LOW,Bakery,Scone,Scottish Cream Scone ,Hell's Kitchen
11,5,3,202301,Jan,Sun,afternoon,LOW,Coffee,Organic brewed coffee,Brazilian Sm,Hell's Kitchen
15,6,4,202301,Jan,Sun,afternoon,LOW,Tea,Brewed herbal tea,Lemon Grass Rg,Hell's Kitchen
73.5,21,12,202301,Jan,Sun,afternoon,Very high,Drinking Chocolate,Hot chocolate,Dark chocolate Rg,Astoria
15,4,3,202301,Jan,Sun,afternoon,LOW,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Rg,Lower Manhattan
32,8,5,202301,Jan,Sun,afternoon,MED,Tea,Brewed Chai tea,Morning Sunrise Chai Lg,Astoria
10.5,3,3,202301,Jan,Sun,afternoon,LOW,Bakery,Pastry,Croissant,Hell's Kitchen
15.4,7,5,202301,Jan,Sun,afternoon,LOW,Coffee,Gourmet brewed coffee,Ethiopia Sm,Hell's Kitchen
37.5,10,6,202301,Jan,Sun,afternoon,MED,Coffee,Barista Espresso,Cappuccino,Hell's Kitchen
20,8,5,202301,Jan,Sun,afternoon,LOW,Tea,Brewed Chai tea,Traditional Blend Chai Rg,Lower Manhattan
82.5,22,18,202301,Jan,Sun,morning,Very high,Coffee,Barista Espresso,Latte,Astoria
35,10,7,202301,Jan,Sun,morning,MED,Coffee,Gourmet brewed coffee,Ethiopia Lg,Astoria
18,4,4,202301,Jan,Sun,morning,LOW,Bakery,Scone,Scottish Cream Scone ,Hell's Kitchen
18.75,5,3,202301,Jan,Sun,morning,LOW,Coffee,Premium brewed coffee,Jamaican Coffee River Lg,Astoria
35,14,7,202301,Jan,Sun,afternoon,MED,Coffee,Gourmet brewed coffee,Columbian Medium Roast Rg,Lower Manhattan
10.5,3,3,202301,Jan,Sun,afternoon,LOW,Bakery,Pastry,Croissant,Astoria
42.5,17,12,202301,Jan,Sun,afternoon,HIGH,Tea,Brewed herbal tea,Peppermint Rg,Astoria
30,8,5,202301,Jan,Sun,afternoon,MED,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Rg,Astoria
40,16,10,202301,Jan,Sun,afternoon,MED,Tea,Brewed Chai tea,Morning Sunrise Chai Rg,Astoria
25.5,10,7,202301,Jan,Sun,afternoon,MED,Tea,Brewed Chai tea,Spicy Eye Opener Chai Rg,Astoria
25,10,8,202301,Jan,Sun,afternoon,MED,Coffee,Drip coffee,Our Old Time Diner Blend Rg,Astoria
36,12,7,202301,Jan,Sun,afternoon,MED,Coffee,Gourmet brewed coffee,Columbian Medium Roast Lg,Hell's Kitchen
5.1,2,2,202301,Jan,Sun,afternoon,LOW,Tea,Brewed Chai tea,Spicy Eye Opener Chai Rg,Lower Manhattan
14,4,4,202301,Jan,Sun,afternoon,LOW,Bakery,Pastry,Croissant,Lower Manhattan
33,11,8,202301,Jan,Sun,afternoon,MED,Tea,Brewed Green tea,Serenity Green Tea Lg,Astoria
39,13,9,202301,Jan,Sun,afternoon,MED,Tea,Brewed herbal tea,Lemon Grass Lg,Astoria
20,8,5,202301,Jan,Sun,afternoon,LOW,Tea,Brewed Chai tea,Morning Sunrise Chai Rg,Hell's Kitchen
18,9,6,202301,Jan,Sun,afternoon,LOW,Coffee,Drip coffee,Our Old Time Diner Blend Sm,Astoria
21,7,4,202301,Jan,Sun,afternoon,MED,Coffee,Drip coffee,Our Old Time Diner Blend Lg,Lower Manhattan
20.4,8,6,202301,Jan,Sun,afternoon,Very high,Tea,Brewed Chai tea,Spicy Eye Opener Chai Rg,Hell's Kitchen
27.5,11,8,202301,Jan,Sun,afternoon,MED,Coffee,Drip coffee,Our Old Time Diner Blend Rg,Lower Manhattan
30,12,8,202301,Jan,Sun,afternoon,MED,Tea,Brewed Green tea,Serenity Green Tea Rg,Astoria
19.2,7,5,202301,Jan,Sun,afternoon,LOW,Coffee,Barista Espresso,Ouro Brasileiro shot,Lower Manhattan
9,3,3,202301,Jan,Sun,afternoon,LOW,Tea,Brewed Black tea,Earl Grey Lg,Lower Manhattan
22.5,9,5,202301,Jan,Sun,afternoon,MED,Tea,Brewed herbal tea,Lemon Grass Rg,Astoria
26.25,7,5,202301,Jan,Sun,afternoon,MED,Coffee,Premium brewed coffee,Jamaican Coffee River Lg,Lower Manhattan
21.7,7,5,202301,Jan,Sun,afternoon,MED,Tea,Brewed Chai tea,Spicy Eye Opener Chai Lg,Lower Manhattan
16.25,5,4,202301,Jan,Sun,afternoon,LOW,Bakery,Biscotti,Hazelnut Biscotti,Astoria
46.5,15,10,202301,Jan,Sun,afternoon,HIGH,Tea,Brewed Chai tea,Spicy Eye Opener Chai Lg,Astoria
10,5,3,202301,Jan,Sun,afternoon,LOW,Coffee,Drip coffee,Our Old Time Diner Blend Sm,Hell's Kitchen
15,5,4,202301,Jan,Sun,afternoon,LOW,Tea,Brewed Chai tea,Traditional Blend Chai Lg,Lower Manhattan
9,3,2,202301,Jan,Sun,afternoon,LOW,Coffee,Gourmet brewed coffee,Ethiopia Rg,Hell's Kitchen
17.5,5,5,202301,Jan,Sun,afternoon,LOW,Coffee,Gourmet brewed coffee,Ethiopia Lg,Hell's Kitchen
15,6,5,202301,Jan,Sun,afternoon,LOW,Tea,Brewed herbal tea,Lemon Grass Rg,Lower Manhattan
25,10,7,202301,Jan,Sun,afternoon,MED,Tea,Brewed Black tea,English Breakfast Rg,Hell's Kitchen
35,10,5,202301,Jan,Sun,afternoon,MED,Coffee,Organic brewed coffee,Brazilian Lg,Lower Manhattan
11.25,3,3,202301,Jan,Sun,afternoon,LOW,Bakery,Pastry,Chocolate Croissant,Lower Manhattan
14.7,6,5,202301,Jan,Sun,afternoon,LOW,Coffee,Premium brewed coffee,Jamaican Coffee River Sm,Lower Manhattan
59.5,14,7,202301,Jan,Sun,afternoon,HIGH,Coffee,Barista Espresso,Latte Rg,Lower Manhattan
13,4,4,202301,Jan,Sun,afternoon,LOW,Bakery,Biscotti,Hazelnut Biscotti,Lower Manhattan
51,12,8,202301,Jan,Sun,afternoon,HIGH,Coffee,Barista Espresso,Cappuccino Lg,Astoria
15,4,4,202301,Jan,Sun,afternoon,LOW,Bakery,Pastry,Chocolate Croissant,Hell's Kitchen
28.5,6,4,202301,Jan,Sun,afternoon,MED,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Lg,Hell's Kitchen
12,4,3,202301,Jan,Sun,afternoon,LOW,Tea,Brewed herbal tea,Peppermint Lg,Lower Manhattan
30,10,7,202301,Jan,Sun,afternoon,MED,Tea,Brewed Black tea,English Breakfast Lg,Lower Manhattan
18,4,4,202301,Jan,Sun,afternoon,LOW,Bakery,Scone,Scottish Cream Scone ,Lower Manhattan
27,9,7,202301,Jan,Sun,afternoon,MED,Coffee,Gourmet brewed coffee,Columbian Medium Roast Lg,Astoria
12.5,5,3,202301,Jan,Sun,afternoon,LOW,Tea,Brewed herbal tea,Peppermint Rg,Lower Manhattan
22.5,9,6,202301,Jan,Sun,afternoon,MED,Tea,Brewed Black tea,Earl Grey Rg,Astoria
36,12,8,202301,Jan,Sun,afternoon,MED,Tea,Brewed Black tea,Earl Grey Lg,Hell's Kitchen
19.6,8,6,202301,Jan,Sun,afternoon,LOW,Coffee,Premium brewed coffee,Jamaican Coffee River Sm,Astoria
25.5,6,3,202301,Jan,Sun,afternoon,MED,Coffee,Barista Espresso,Latte Rg,Astoria
10,4,3,202301,Jan,Sun,afternoon,LOW,Tea,Brewed Black tea,Earl Grey Rg,Lower Manhattan
16.25,5,4,202301,Jan,Sun,afternoon,LOW,Bakery,Scone,Cranberry Scone,Astoria
19.8,9,6,202301,Jan,Sun,afternoon,LOW,Coffee,Gourmet brewed coffee,Ethiopia Sm,Astoria
10,5,3,202301,Jan,Sun,afternoon,LOW,Coffee,Gourmet brewed coffee,Columbian Medium Roast Sm,Lower Manhattan
14,4,4,202301,Jan,Sun,afternoon,LOW,Bakery,Biscotti,Ginger Biscotti,Lower Manhattan
28,8,5,202301,Jan,Sun,afternoon,MED,Bakery,Biscotti,Chocolate Chip Biscotti,Astoria
5,2,2,202301,Jan,Sun,afternoon,LOW,Tea,Brewed herbal tea,Peppermint Rg,Hell's Kitchen
26.25,7,5,202301,Jan,Sun,evening,MED,Coffee,Barista Espresso,Latte,Hell's Kitchen
25.5,6,4,202301,Jan,Sun,evening,MED,Coffee,Barista Espresso,Cappuccino Lg,Hell's Kitchen
32.5,13,8,202301,Jan,Sun,evening,MED,Tea,Brewed Green tea,Serenity Green Tea Rg,Hell's Kitchen
12.5,5,3,202301,Jan,Sun,evening,LOW,Coffee,Gourmet brewed coffee,Columbian Medium Roast Rg,Hell's Kitchen
28.05,11,7,202301,Jan,Sun,evening,MED,Tea,Brewed Chai tea,Spicy Eye Opener Chai Rg,Astoria
22.5,6,4,202301,Jan,Sun,evening,MED,Coffee,Barista Espresso,Cappuccino,Lower Manhattan
75,20,13,202301,Jan,Sun,evening,Very high,Coffee,Premium brewed coffee,Jamaican Coffee River Lg,Astoria
8,4,3,202301,Jan,Sun,evening,LOW,Coffee,Drip coffee,Our Old Time Diner Blend Sm,Lower Manhattan
22,11,8,202301,Jan,Sun,evening,MED,Coffee,Drip coffee,Our Old Time Diner Blend Sm,Astoria
25,10,8,202301,Jan,Sun,evening,MED,Tea,Brewed herbal tea,Peppermint Rg,Astoria
33,11,6,202301,Jan,Sun,evening,MED,Tea,Brewed Chai tea,Traditional Blend Chai Lg,Hell's Kitchen
10,4,3,202301,Jan,Sun,evening,LOW,Tea,Brewed herbal tea,Lemon Grass Rg,Lower Manhattan
35,10,7,202301,Jan,Sun,evening,MED,Coffee,Organic brewed coffee,Brazilian Lg,Astoria
26.25,7,5,202301,Jan,Sun,evening,MED,Coffee,Barista Espresso,Cappuccino,Astoria
24.8,8,6,202301,Jan,Sun,evening,MED,Coffee,Premium brewed coffee,Jamaican Coffee River Rg,Astoria
27.5,11,7,202301,Jan,Sun,evening,MED,Tea,Brewed Chai tea,Morning Sunrise Chai Rg,Astoria
3.25,1,1,202301,Jan,Sun,evening,LOW,Bakery,Scone,Ginger Scone,Lower Manhattan
9,3,2,202301,Jan,Sun,evening,LOW,Tea,Brewed Chai tea,Traditional Blend Chai Lg,Lower Manhattan
3.75,1,1,202301,Jan,Sun,evening,LOW,Bakery,Pastry,Chocolate Croissant,Lower Manhattan
5,2,2,202301,Jan,Sun,evening,LOW,Tea,Brewed Chai tea,Traditional Blend Chai Rg,Astoria
10,4,3,202301,Jan,Sun,evening,LOW,Tea,Brewed herbal tea,Lemon Grass Rg,Hell's Kitchen
12.5,5,3,202301,Jan,Sun,evening,LOW,Tea,Brewed Black tea,Earl Grey Rg,Lower Manhattan
49,14,9,202301,Jan,Sun,evening,HIGH,Drinking Chocolate,Hot chocolate,Dark chocolate Rg,Astoria
18.75,5,2,202301,Jan,Sun,evening,LOW,Coffee,Premium brewed coffee,Jamaican Coffee River Lg,Lower Manhattan
25,10,7,202301,Jan,Sun,evening,MED,Tea,Brewed Black tea,Earl Grey Rg,Astoria
21,7,4,202301,Jan,Sun,evening,MED,Tea,Brewed Green tea,Serenity Green Tea Lg,Hell's Kitchen
15.4,7,3,202301,Jan,Sun,evening,LOW,Coffee,Gourmet brewed coffee,Ethiopia Sm,Lower Manhattan
40,10,6,202301,Jan,Sun,evening,MED,Tea,Brewed Chai tea,Morning Sunrise Chai Lg,Hell's Kitchen
14,4,4,202301,Jan,Sun,morning,LOW,Bakery,Biscotti,Ginger Biscotti,Lower Manhattan
16,4,3,202301,Jan,Sun,afternoon,LOW,Tea,Brewed Chai tea,Morning Sunrise Chai Lg,Hell's Kitchen
25.5,6,3,202301,Jan,Sun,afternoon,MED,Coffee,Barista Espresso,Latte Rg,Hell's Kitchen
7.35,3,2,202301,Jan,Sun,afternoon,LOW,Coffee,Premium brewed coffee,Jamaican Coffee River Sm,Hell's Kitchen
36,12,7,202301,Jan,Sun,afternoon,MED,Coffee,Organic brewed coffee,Brazilian Rg,Astoria
12,4,3,202301,Jan,Sun,afternoon,LOW,Coffee,Barista Espresso,Espresso shot,Lower Manhattan
30,8,6,202301,Jan,Sun,afternoon,MED,Coffee,Premium brewed coffee,Jamaican Coffee River Lg,Astoria
35,10,6,202301,Jan,Sun,afternoon,MED,Coffee,Gourmet brewed coffee,Ethiopia Lg,Lower Manhattan
26.95,11,7,202301,Jan,Sun,evening,MED,Coffee,Premium brewed coffee,Jamaican Coffee River Sm,Astoria
42.5,17,10,202301,Jan,Sun,evening,HIGH,Tea,Brewed herbal tea,Lemon Grass Rg,Astoria
30,12,7,202301,Jan,Sun,evening,MED,Coffee,Drip coffee,Our Old Time Diner Blend Rg,Astoria
37.5,14,10,202301,Jan,Sun,evening,MED,Coffee,Barista Espresso,Ouro Brasileiro shot,Hell's Kitchen
